text,label
最近閒來沒事，又把侏1翻出來看一遍，劇情、特效對我來說還是經典，很難被超越。,0
這部電影我從小到大也看了超過20次了吧，然而一些不合理處小時候沒感覺，這次看完後才覺得怪怪的,0
最後暴龍為什麼要救主角一行人？,1
明明一開始都是要致他們於死地的，怎麼最後反而成了救星？,1
暴龍是怎麼跑進遊客中心的？,1
以牠的身驅來講，應該是進不去啊？,0
就算勉強進得去，應該也會撞壞門口的樓梯、柱子什麼的，結果好像也沒有，感覺就是憑空出現,0
就在迅猛龍裝腔作勢的時候，瞬間出場，突然一顆頭冒出來把迅猛龍咬住，主角們就得救了,1
這個轉折真的好突然,0
重點是，那麼大一隻暴龍，在牠咬住迅猛龍之前，「完全」沒人注意到牠，不管是主角們還是迅猛龍...怎麼想都不合理。,1
最扯的是，一隻迅猛龍被咬死後，另一隻不是被嚇跑，而是衝過去要為同伴報仇,1
這也太誇張了，牠居然以為單挑暴龍可以打贏嗎？,0
光是這個體型的差距，一定就是送死而已。,0
都有智慧懂得怎麼開門鎖了，這點實力的差距不懂得分辨嗎？,1
還是牠為了報仇寧可犧牲自己？,0
很難想像爬蟲類會有這樣的情感。,1
當然我可能認真了，如果電影結尾就是要安排給暴龍耍帥的話，這些不合理都可以忽略不計了...,0
想說這片怎麼沒注意到，原來是4/30上架的？,0
如果是的話，那我也知道為什麼沒注意到了。,0
疫情即將爆發，加上遇到人生最艱困時段。,0
但這都不重要。當時看到這個片名……我以為是小米的廣告片……,0
直到現在我也還是有這種感覺，連Google搜尋這片時，都跳出小米的產品,0
說真的，開頭跳出Sony我還蠻期待的，他們的動畫電影一般都不錯，真人電影則是都不怎麼樣。,0
劇情部分評論劇情部分直接踩到地雷。,0
我最痛恨的就是都合主義。,0
然後這片劇情從開車上路開始，就是一個插旗之旅。,1
立FLAG通常只是拿來玩哏或是劇情需要，一兩次沒關係。,0
但整片都是這樣，就變成了另類的都合主義。,0
舉例來說，我刷了五六遍的《數碼寶貝LAST EVOLUTION》,0
從第一部開始就沒說過時間會到這件事，然後劇場版突然跟你說有時限？,1
為什麼？不知道，沒解釋，任由觀眾自己去腦補，反正賣情懷，總是有人吃這味(對，就是我)。,0
《米家》裡則是都有說為什麼，但全部用插旗的方式，感覺比都合主義還要更糟。,0
上一秒說絕對愛你，下一秒就是直接扔了。,1
上一秒說機器人不會叛變，下一秒就是叛變。,1
一部一直跟你說下一秒會發生什麼事情的電影，根本沒什麼驚喜了,0
就像有個人一直在耳朵旁說：「欸等等會撞車喔！」這種感覺,0
一切的劇情都告訴了我，連一點驚喜點或是爆點都沒有，看完感覺真的超怪的……,0
而且最後一段的一句直接讓我原本想給劇情普雷的，直接變成負雷。,0
從從頭到尾都沒說過，結果突然來一句：「你和小玉在一起了嗎？」喔,1
，還不夠政確，最後還要補一個女同設定，謝囉。,1
藝術部分評論我對這片的好感完全來自於表現手法上。,0
使用迷因和大量搞怪圖案，形成另一種的普普藝術風格,0
(藝術風格這部分我不太會分，有錯請指教，感謝),0
讓這片看點不會全部都被那個很糟糕又過於嚴肅的劇情束縛,0
特別是結合迷因這部分，虛實營造出來的笑果非常成功,0
還有從《蜘蛛人新宇宙》就有的2D和3D結合,0
利用特別突出情緒的2D表現，加強3D中不足的部分，同時還能用以當作想像畫面，用來區別真實與虛擬。,0
放下手機評論我才不會放下手機。,0
還有就是我不是很喜歡這種，一直嘗試教育觀眾：「多和家人相處」「比起看手機，還不如看看眼前的人」「家人是最棒的」「要去瞭解彼此」「不要強塞自己的價值觀」「不要拋下最愛的人」之類的狗屁正向宣導教育片。,1
尤其是這片裡面塞了太多東西，簡直像是撞到一片SJW和EJW合作的動畫一樣,0
還好沒那麼極端，說教的感覺只有點到為止。,0
聽說這片是奧斯卡大熱門？,0
大概是我太久沒看美國的動畫作品？,0
迪士尼的我都不看。,0
上一部好像是《蜘蛛人新宇宙》，那片真的優秀，除了美國人用QQ這件事很奇怪之外。,0
不然就是我看日系動畫比較有感覺，電波比較搭之類的……,0
我不想看個動畫還被教育啊QQ,0
天狼星死後安慰哈利的是露娜 ,1
